"lex_1";"lex_2";"w1w2";"w1";"w2";"freq1";"freq2";"joint";"dice";"loglikelihood";"mi3";"tscore";"agr"
"статус";"президент";"706";"106678";"1334608";"106678";"1334608";"706";"7.071716089482302";"915.6205405663613";"14.518998101261964";"20.016893552886724";"17.047734145261803"
"статус";"закрепить";"700";"106678";"26164";"106678";"26164";"700";"9.44731178451989";"6082.639685269063";"18.425401868570436";"26.32848190904115";"22.025277745433083"
"статус";"определять";"700";"106678";"75787";"106678";"75787";"700";"9.129913862812877";"4594.134717416346";"17.361859514687346";"26.083759568526215";"21.280567878786364"
"статус";"претендовать";"696";"106678";"42570";"106678";"42570";"696";"9.32513221006431";"5359.246337387827";"17.921444484702388";"26.17126996140071";"21.657030306748016"
"статус";"весь";"689";"106678";"2283756";"106678";"2283756";"689";"6.541402954193212";"374.52233003961555";"13.9086923616336";"14.896617918358912";"14.394182014107395"
"статус";"рф";"683";"106678";"648858";"106678";"648858";"683";"7.684459330008514";"1659.2123209735846";"15.140815967638279";"22.89476161443456";"18.618414868809392"
"статус";"второй";"683";"106678";"594439";"106678";"594439";"683";"7.759211983618748";"1764.8122640387724";"15.228411758618174";"23.166455475935354";"18.782660167698246"
"статус";"после";"681";"106678";"1344932";"106678";"1344932";"681";"7.02852564346201";"838.4476249109607";"14.403133468850683";"19.371377694232585";"16.70354867701917"
"статус";"самый";"680";"106678";"982987";"106678";"982987";"680";"7.313859111212761";"1168.227261240076";"14.712227782811901";"21.158306637037057";"17.643294101234897"
"статус";"присвоение";"679";"106678";"11139";"106678";"11139";"679";"9.536880455937162";"7038.537821764573";"19.187956202352225";"26.001851982764958";"22.336570843021974"
"статус";"обладать";"679";"106678";"62725";"106678";"62725";"679";"9.173732537512198";"4669.993050287992";"17.45964857396279";"25.743544737501644";"21.200784045993863"
"статус";"документ";"669";"106678";"438820";"106678";"438820";"669";"7.989476822800769";"2070.0089207315423";"15.469808157710071";"23.651363823702578";"19.12804383675662"
"статус";"рыночный";"663";"106678";"54550";"106678";"54550";"663";"9.199347379504296";"4712.548275864823";"17.527752541817698";"25.47236119224864";"21.129913479083026"
"статус";"держава";"660";"106678";"22260";"106678";"22260";"660";"9.418300067926534";"5871.770312592815";"18.410473442753204";"25.577409366189336";"21.70005105686749"
